HEADERID,LINEITEMNUMBER,ITEMNAME,ITEMCODE,TRADINGGROUP,DESTINATIONORG,DONATEDQUANTITY,PROP1,PROP2,PROP3,PROP4,PROP5,PROP6,PROP7,PROP8,PROP9,PROP10,PROP11,PROP12,PROP13,PROP14,PROP16,PROP17,PROP18,PROP19,PROP20,NOTIFY,PROP15,STATUS,ACCEPTEDQUANTITY,ACCEPTEDDATE,RECEIPTEDQUANTITY,RECEIPTEDDATE,DESTINATIONORGNAME,COMMENTS,USERID,USERFIRSTNAME,USERLASTNAME,USEREMAIL,RPROP1,RPROP2,RPROP3,RPROP4,RPROP5,RPROP6,RPROP7,RPROP8,RPROP9,RPROP10,RPROP11,RPROP12,RPROP13,RPROP14,RPROP15,NUTRITIONALCODE,FOODSOURCE,FEATURETYPE
003001-22838,9,General Reclamation D Bulk Box,40004,,,0.0,LB,1080,0,BULKBOX,,,0,,,,,,,,,,,,,,,1,1080.0,20040806.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
0010260765,3,Fabric Softner Sheets,DY13049,,,0.0,CASE,8,0.56,,15/25 ct.,DRY,0,,,,,,,,,,,,,,,1,2.0,20040806.0,,,,,,,,,1.12,,,,,,,,,,,,,,,,,
0010260765,4,Berry Juicy Juice,DY14054,,,0.0,CASE,84,2.8,,8/46oz.,DRY,0,,,,,,,,,,,,,,,1,3.0,20040806.0,,,,,,,,,8.4,,,,,,,,,,,,,,,,,
0010260765,5,Alfredo Sauce,DY26116,,,0.0,CASE,42,2.1,,4/4lb.8oz,FROZEN,0,,,,,,,,,,,,,,,1,2.0,20040806.0,,,,,,,,,4.2,,,,,,,,,,,,,,,,,
0010260765,6,Crisscut Potatoes,DY27062,,,0.0,CASE,44,2.2,,12/24oz,FROZEN,0,,,,,,,,,,,,,,,1,2.0,20040806.0,,,,,,,,,4.4,,,,,,,,,,,,,,,,,
0010260765,7,Whole Kernel Corn (repacked),DY27071,,,0.0,CASE,23,2.3,,3/#10 Cans,DRY,0,,,,,,,,,,,,,,,1,1.0,20040806.0,,,,,,,,,2.3,,,,,,,,,,,,,,,,,
0010260765,8,Roasted Vegetables,DY27072,,,0.0,CASE,16,1.6,,28/8oz.,FROZEN,0,,,,,,,,,,,,,,,1,1.0,20040806.0,,,,,,,,,1.6,,,,,,,,,,,,,,,,,
0010260765,9,Creamed Spinach,DY27073,,,0.0,CASE,24,2.4,,4/6lb.,FROZEN,0,,,,,,,,,,,,,,,1,1.0,20040806.0,,,,,,,,,2.4,,,,,,,,,,,,,,,,,
0010260818,2,Yams,W27020,,,0.0,CASE,56,11.72,,24/15 oz,DRY,11.72,,,,,,,,,,,,,,,1,2.0,20040806.0,,,,,,,,,23.44,,,,,,,,,,,,,,,,,
0010260818,3,"Potatoes, Sliced",W27017,,,0.0,CASE,81,11.69,,24/15 oz,DRY,11.69,,,,,,,,,,,,,,,1,3.0,20040806.0,,,,,,,,,35.07,,,,,,,,,,,,,,,,,
